"Study #","Authors","Excluded?","Medium","Method","Collection equipment","Equip Length (mm)","Equip Diam (mm)","Climate","Year (publication)","Year (sampling)","Habitat Sampled","Site names","Spatial level","Spatial separation (m)","n","Inorganic C %","Carbonate  (%DW)","% mud (""silt & clay"", <63um)","DBD (Dry Bulk Density (g mL-1) = g (cm-3))","Corg (% DW)","Variance type(s)","InorgC var","Carb var","%mud var","DBD var","Corg var","Dating?","SAR (linear)","SAR units","SAR variance","SAR variance type","Sed MAR (mass)","Sed MAR units","MAR variance","MAR variance type","C donor isotope signatures","Core depth (m)","Core depth midpoint (m)","% Mangrove","% Seagrass","% Macroalgae","% saltmarsh","%Epiphytes/MPB","% Plantkon","% SPOM","% Terrestrial","AutochReported","AllochReported","%Tricho","Coral","Sewage","SUM","Autochthonous","Autoch_var","Allochthonous","Variance Type","% MNG Var","% SGR Var","% MAC Var","%EPIP Var","% PLK Var","% Tricho Var","%saltmarsh Var","%SPOM var","% Terrestrial var","Autochth. % var","Allochth. % var","Coral % Var","Sewage % Variability","OCsource_C13","OCsource_N15","OCsource_CN","OCsource_CPratio","OCsource_eDNA","OCsource_lipids","OCsource_lignin","No. source markers","End-members attempted","End-members reported","Attempted vs reported differences","Analysis method","Analysis method (detail)","Location","Nation","Lat (decimal)","Long (decimal)","Water depth (m)","SST min (C)","SST mean (C)","SST max (C)","Salinity","Salinity units","Macrophyte composition","Epiphyte composition","Seascape context","Habitat area data?","OC source marker measured","Source analysis notes","Notes","Data","Seston/SPOM"
4,"Suello et al. 2022",NA,"Sediment","coring","Push Corer","650","10","Tropical",2022,"2018","Mangrove",NA,"Among sites",30000,4,NA,NA,94.2214285714286,0.36375,3.125,"SD",NA,NA,2.04334226674036,0.0874948978104274,1.41491039595143,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mangrove estuary","0.65-3",1.8,38.324593545,NA,NA,NA,NA,NA,61.6754065,NA,NA,NA,NA,NA,NA,61.6754065,38.324593545,16.630949432681,61.675406455,"SD",16.630949432681,NA,NA,NA,NA,NA,NA,16.6309493662667,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,2,NA,"Linear mixing model","Mixing model (Bouillon et al. 2003)","Guayas Delta","Ecuador",-2.428225027,-79.92496597,"0",NA,NA,NA,NA,NA,"Rhizophora mangle, Avicennia germinans",NA,"Mangrove estuary","Yes (Figure 1)","Stable isotopes (C13 & N15)","1 isotope, C:N ratio two source mixing model (Bouillon et al. 2003)","Averaged betwen old and new, no raw data, pulled from Fig 6 using plotdigitizer online","SI Tables 1-2, Fig 6",NA
5,"Hemminga et al., 1994",NA,"Sediment","coring","Push Corer",NA,"70","Tropical",1994,"1992","Mangrove",NA,"Among sites",1000,2,NA,0.9,NA,NA,8.54,"SD",NA,0.424264068711929,NA,NA,9.65907863100824,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mangrove & Seagrass","7.0000000000000007E-2",0.035,80.95,18.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.85,80.95,4.59619407771256,19.05,"SD",4.59619407771256,4.45477272147524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,0,2,NA,"Not conducted/described","Not conducted","Gazi Bay","Kenya",-4.41666666666667,39.5,"7.0000000000000007E-2",NA,NA,NA,NA,NA,"Thalassodendron ciliatum, Rhizophora mucronata, Ceriops tagal",NA,"Mangrove forest to marine context (""large extent, seagrass and lesser extent macroalgae""",NA,"Stable isotope (C13)","Proportions calculated by SK Wilson using https://www.epa.gov/eco-research/stable-isotope-mixing-models-estimating-source-proportions",NA,"Tables 1-5",NA
6,"Akhand et al., 2021",NA,"Sediment","coring","Push Corer",NA,"80","Temperate",2021,"2017","Mangrove","Mangrove","Within site",NA,3,NA,NA,NA,NA,0.88,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mangrove, River, Seagrass, Coral,","0.03",0.03,88,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,8,88,1.84,12,"95% CL",1.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2,3,3,"Mixed source class ""Coastal OM"" (seagrass-macroalgae-MPB-coral) not included here","Bayesian Mixing Model","SIAR","Iriomote Island","Japan",24.38,123.88,NA,25.4,31.86,39.7,31.68,"ppt","Rhizophora stylosa, Bruguiera gymnorrhiza,Avicennia marina, Zostera japonica, Enhalus acoroides, Halodule uninervis, Cymodocea rotundata, Heliopora coerulea, Porites spp., and Acropora spp, Digenea simplex and Dictiyota spp.,",NA,"Mangrove forest through seagrass to coral reef",NA,"Stable isotope (C13)",NA,"Table 3, merged seagrass-seaweed-MPB; NOTE_ Column T is combination of seagrass, coral & seaweed source. Alloc = 12%","Tables 1,3",NA
16,"Bouillon et al 2004",NA,"Sediment","coring","Push Corer","100",NA,"Tropical",2004,NA,"Mangrove",NA,"Among sites",860,3,NA,NA,NA,NA,5.6,"SD",NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.1",0.1,84.7,15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3,84.7,13.856406460551,15.3,"SD",13.856406460551,13.856406460551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,2,2,2,NA,"Not conducted/described","Not conducted","Gazi Bay","Kenya",-4.366666666,39.5,NA,NA,NA,NA,NA,NA,"Rhizophora mucronata, Sonneratia alba, Ceriops tagal, Bruguiera gymnorrhiza, Avicennia marina, Xylocarpus granatum",NA,"mangrove creeks within Bay","Yes (Figure 1) 6-7km2","Stable isotope (C13), lipids","Single isotope & lipids","Contributions calculated using EPA Table and C13 values in Table 1",NA,NA
18,"Bulmer etal 2020",NA,"sediment","coring","Piston corer",NA,"38","Temperate",2020,"2016","Mangrove","Tairua estuary","Within site",NA,9,NA,NA,44.43,0.76,1.44736842105263,"SD",NA,NA,0.266,0.05,2.36842105263158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.1",0.05,44,6,NA,12,NA,NA,38,NA,NA,NA,NA,NA,NA,56,44,14,56,"SD",14,3,NA,NA,NA,NA,7,11,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,5,4,NA,"Bayesian Mixing Model (SimmR)","SimmR & JAGS","Tairua estuary","New Zealand",-37.01667,175.85,NA,NA,NA,NA,NA,NA,"Avicennia marina",NA,NA,"36.1 Ha Mangroves",NA,"SIMMR mixed models","Despite being typically overlooked in blue carbon literature, unvegetated habitats contained significant carbon stocks, particularly when adjusted for their relatively large extent within the estuary (occupying 68.4% of the estuarine area and containing 57.1% of carbon stocks)","Table 2","Reported seston, moved to SPOM"
19,"Chu et al 2020",NA,"sediment","surface scrape","Not described",NA,NA,"Tropical",2020,"2016","Mangrove",NA,"Among sites",153000,2,NA,NA,NA,NA,1.50357142857143,"SD",NA,NA,NA,NA,1.40916279965033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",0,17,NA,NA,NA,NA,34.5,NA,48.5,NA,NA,NA,NA,NA,83,17,2.82842712474619,83,"SD",2.82842712474619,NA,NA,NA,14.8492424049175,NA,NA,NA,12.0208152801713,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,2,3,3,NA,"Bayesian Mixing Model","biomarker ratios in Bayesian Markov-chain Monte Carlo, MATLAB package of Bosch et al. (2015)","Hainan Province","China",19.71,109.305,"0",NA,NA,NA,NA,NA,"Rhizophora stylosa",NA,"Mangrove creeks within Bay","133 km2","Lipids, Stable isotope (C13)","1 isotope, 3 source mixing models","lipid Taraxerol to differentiate between Rhizorphora mangroves and terrestrial plants, Contribution of phytoplankton increases at sites closer to sea SD for contributions must be based on models as n=1","Table 5",NA
20,"Sasmito et al 2020",NA,"sediment","coring","Auger","500",NA,"Tropical",2020,"2016","Mangrove",NA,"Among sites",8600,2,NA,NA,NA,0.43552,9.58098,"SD",NA,NA,NA,0.227942941983295,9.63622493984029,"Pb210ex alpha, , Ra226 gamma",0.32693125,"cm/yr",0.0950970232348258,"SD",0.189955,"g/cm2/yr",0.0875044641718353,"SD","Sampled local mangrove tissues (leaves, stem, root, litter), seagrass & macroalgae from literature","0-0.5",0.25,28.05995,NA,NA,NA,NA,NA,NA,67.2248,NA,NA,NA,NA,NA,67.2248,28.05995,3.56601020820188,71.94005,"SD",3.56601020820188,NA,NA,NA,NA,NA,NA,NA,6.16045569905344,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,3,4,4,"Mixed classes: upland soil & seagrass-macroalgae not included here","Bayesian Mixing Model (SimmR)","SimmR","Bintuni Bay, West Papua","Indonesia",-2.5,133.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes (Figure 1)","Stable isotopes (C13 & N15)","SIMMR mixing model",NA,NA,NA
21,"Briand et al. 2015",NA,"sediment","surface scrape","Not described",NA,NA,"Tropical",2015,"2010","Mangrove",NA,"Among sites",7000,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sampled 27 macroalgae taxa (incl. Sargassum), Cymodocea, Halodule, Halophila, Synrogodium, Avicennia, Rhizophora","0-0.03",0.015,22.18,2.2,13.1,NA,NA,NA,15.35,20.93,NA,NA,2.3,NA,NA,53.88,22.18,22.02,77.82,"95% CI",22.02,42,0.76068456011674,NA,NA,10.5,NA,18.06,19.9,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,6,6,NA,"Bayesian Mixing Model","Bayesian SIAR","Noumea","New Caledonia",-22.27631,166.4572,"2.5",NA,26,NA,NA,NA,"Sampled 27 macroalgae taxa (incl. Sargassum), Cymodocea, Halodule, Halophila, Synrogodium, Avicennia, Rhizophora",NA,NA,NA,"Stable isotopes (C13 & N15)","two isotopes, six sources; Bayesian SIAR","Poorly executed study, misclassified algae into wrong families (e.g., Lobophora into Rhodophytes)",NA,NA
23,"Ding et al. 2022",NA,"sediment","coring","Push Corer","800","100","Tropical",2022,NA,"Mangrove",NA,"Among sites",185000,4,NA,NA,NA,NA,0.913115357142857,"SD",NA,NA,NA,NA,0.327972498347351,"Cs137 CIC model",1.83,"cm/yr",1.14315353299546,"SD",NA,NA,NA,NA,"Local phytoplankton, mangrove, estuary POM, terrestrial plant material","0-0.8",0.4,35,NA,NA,NA,NA,36.75,NA,21,NA,NA,NA,NA,NA,57.75,35,14.0712472794703,65,"SD",14.0712472794703,NA,NA,NA,14.3845982448822,NA,NA,NA,4.08248290463863,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2,3,3,NA,"Bayesian Mixing Model","MixSIAR","East China Sea","China",24.41,117.95,NA,NA,NA,NA,16.4,"ppt",NA,NA,NA,NA,"Stable isotopes (C13 & N15)","Bayesian Mixing Model (MixSIAR)",NA,NA,NA
27,"Garcias-Bonet et al. 2019",NA,"sediment","coring","Push Corer","300","95","Tropical",2019,"2014-2017","Mangrove",NA,"Among sites",1000,16,NA,NA,NA,0.96,1.85,"SD",NA,NA,NA,0.16,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Macroalgae, seagrass, halophytes, mangroves, seston, microbial mats","0-0.1",0.05,56,15,17,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,56,8,44,"SD",8,7,9,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,4,4,NA,"Bayesian Mixing Model","Bayesian Mixing Model","Red Sea","Saudi Arabia",20,35,NA,NA,NA,NA,NA,NA,"Avicennia marina",NA,NA,NA,"Stable isotopes (C13 & N15)","Bayesian Mixing Model",NA,NA,NA
